Number of Requests,Cache Expiration,number of scenes per request,Cold Storage Hits,Cold Storage Hit Rate
500,2,2,5,0.01
500,1,2,6,0.012
500,1,3,7,0.014
500,3,2,11,0.022
500,4,2,15,0.03
500,2,3,15,0.03
500,1,4,17,0.034
500,5,2,19,0.038
500,3,3,21,0.042
500,1,5,24,0.048
500,2,4,29,0.058
500,4,3,33,0.066
500,1,6,33,0.066
500,3,4,35,0.07
500,5,3,36,0.072
500,2,5,38,0.076
500,1,8,48,0.096
500,1,7,49,0.098
500,2,6,51,0.102
500,4,4,52,0.104
500,1,9,61,0.122
500,3,5,66,0.132
500,5,4,69,0.138
500,2,8,69,0.138
500,2,7,70,0.14
500,3,6,72,0.144
500,1,10,73,0.146
500,4,5,75,0.15
500,5,5,82,0.164
500,4,6,92,0.184
500,3,7,96,0.192
500,5,6,99,0.198
500,4,7,103,0.206
500,2,9,109,0.218
500,3,8,119,0.238
500,2,10,119,0.238
500,5,7,128,0.256
500,4,8,141,0.282
500,3,9,149,0.298
500,5,8,153,0.306
500,4,9,154,0.308
500,5,9,178,0.356
500,3,10,178,0.356
500,4,10,190,0.38
500,5,10,200,0.4
